20330.02 ,china,275779,
24308.46 ,love,1084989,
24754.78 ,see,9368180,
24157.70 ,know,1084989,
24225.11 ,came,315166,
23187.83 ,project,36973,
17483.11 ,say,126271,
22362.63 ,work,689925,
23828.21 ,people,378561,
17102.54 ,money,98968,
,,,
,,,
,,,
,,,22.17 
